"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Trendyol Genel Test","0","0","Üye Girişi Yapılmadan Sepette Ürün Yönetimi","0"
"0","","1","Genel Test Excel Kullanımı","0","0","Üye Girişi Yapılmadan Sepette Ürün Yönetimi - Excel Kullanımı","0"
